
name,title,direction
Andre Rosendo,助理教授、研究员,Machine learning applied to Robotics
Boris Houska,助理教授、研究员,"Optimization, Optimal Control"
卜智勇,特聘教授,宽带无线通信（中科院上海微系统与信息技术研究所研究员）
曹俊诚,特聘教授,太赫兹物理、器件与应用（中科院上海微系统与信息技术研究所研究员）
蔡宁,正教授,网络编码，经典信息论和量子信息论
陈佰乐,助理教授、研究员,雪崩光电二极管、高速光电探测器、硅基光电子器件、下一代光通信器件
陈宏宇,特聘教授,航天飞行器设计（上海微小卫星工程中心）
陈建新,特聘教授,半导体光电子（中科院上海技术物理研究所研究员）
陈永平,特聘教授,硅光电探测器技术（中科院上海技术物理研究所研究员）
陈熙霖,特聘教授,计算机视觉、模式识别（中科院计算技术研究所研究员）
陈群,特聘教授,磁共振快速成像技术及临床应用（中科院上海高等研究院研究员）
陈邦明,特聘教授,大规模集成电路存储（中科院上海微系统与信息技术研究所研究员）
丁瑞军,特聘教授,红外器件（中科院上海技术物理研究所研究员）
丁雷,特聘教授,光电技术（中科院上海技术物理研究所研究员）
傅旻帆,助理教授、研究员,"电力电子, 无线电能传输"
冯旗,特聘教授,航天光电遥感仪器总体技术光电遥感技术（中科院上海技术物理研究所研究员）
封松林,特聘教授,信息技术（中科院上海高等研究院研究员）
方家熊,特聘教授,光传感器技术（中科院上海技术物理研究所研究员）
范睿,副教授、研究员,并行和分布式计算算法
高盛华,副教授、研究员,计算机视觉和机器学习
高飞,助理教授、研究员,新型混合模态成像技术（光声，热声，磁声成像）、医学传感与成像电路与系统设计、深度学习与计算机视觉在新兴医学领域的应用
龚惠兴,特聘教授,航天遥感、光电技术（中科院上海技术物理研究所研究员）
龚海梅,特聘教授,微电子学与固体电子学半导体光电器件（中科院上海技术物理研究所研究员）
龚谦,特聘教授,半导体激光器、半导体低维结构材料和器件、分子束外延技术（中科院上海微系统与信息技术研究所研究员）
何力,特聘教授,红外探测器技术（中科院上海技术物理研究所研究员）
何旭明,副教授、研究员,计计算机视觉、机器学习
哈亚军,正教授,FPGA结构、设计工具及应用超低功耗数字电路与系统设计硬件安全、智能汽车、机器学习相关嵌入式系统研究及应用
胡宏林,特聘教授,无线通信、移动通信、通信中的信号处理（中科院上海高等研究院研究员）
贺连星,特聘教授,超材料、新型天线及空间应用（上海微小卫星工程中心）
江智浩,助理教授、研究员,计算机科学与技术
寇煦丰,助理教授、研究员,微纳电子器件与电路设计、自旋电子学、拓扑量子体系应用、低温电子学
Laurent Kneip,助理教授、研究员,Computer Vision
刘会杰,特聘教授,通信与信息系统（上海微小卫星工程中心研究员）
刘宇,助理教授、研究员,电力系统/微电网继电保护与故障定位，电力系统状态/参数估计，电力系统网络安全
刘晓培,助理教授、研究员,计算机图形学（流体仿真及渲染）、流体动力学（可视化计算与分析）、科学可视化、最优控制与增强学习、并行计算
娄鑫,助理教授、研究员,数字FIR滤波器、数字信号处理电路与系统设计低功耗超大规模数字集成电路与系统设计加解密电路与系统及其VLSI实现
廖奇峰,助理教授、研究员,"科学计算，计算数学, 应用数学"
李华旺,特聘教授,信息处理在空间环境应用（上海微小卫星工程中心）
李向阳,特聘教授,光电器件（中科院上海技术物理研究所研究员）
李国通,特聘教授,卫星导航（上海微小卫星工程中心研究员）
李明齐,特聘教授,无线通信（中科院上海高等研究院研究员）
李昕欣,特聘教授,微纳集成技术、微纳传感器技术、微纳机电系统技术（中科院上海微系统与信息技术研究所研究员）
李范鸣,特聘教授,红外系统工程（中科院上海技术物理研究所研究员）
林宝军,特聘教授,计算机控制与应用（上海微小卫星工程中心研究员）
林春,特聘教授,半导体光电子（中科院上海技术物理研究所研究员）
梁俊睿,助理教授、研究员,智能能源转换及应用，智能材料与结构
梁旭文,特聘教授,无线通信（上海微小卫星工程中心研究员）
罗喜良,副教授、研究员,无线通信，信号处理，机器学习
陆疌,助理教授、研究员,网络优化及控制的分布式算法、多智能体系统的协调与决策、大数据优化与计算、合作无线网络、凸优化理论及算法、网络动力系统
Manolis Tsakiris,助理教授、研究员,Data Science \Machine Learning\Commutative Algebra
彭其瀚,信息科学与技术学院,计算机图形学
邱越,信息科学与技术学院,数值代数、不确定性量化、数据同化、矩阵计算、数据科学
钱骅,特聘教授,通信与信息系统（中科院上海高等研究院研究员）
任豪,助理教授、研究员,微纳机电系统
Sören Schwertfeger,助理教授、研究员,"Mobile Robotics, Performance Evaluation, Mapping and Intelligent Functions"
孙晓玮,特聘教授,毫米波集成电路与系统（中科院上海微系统与信息技术研究所研究员）
孙胜利,特聘教授,航天遥感信息（中科院上海技术物理研究所研究员）
孙露,信息科学与技术学院,机器学习、模式识别、数据挖掘等人工智能领域
宋富,助理教授、研究员,模型检查、系统分析与验证、计算机安全
石远明,副教授、研究员,通信网络、人工智能、机器学习、信号处理
舒嵘,特聘教授,主动光电技术（中科院上海技术物理研究所研究员）
邵子瑜,助理教授、研究员,分布式算法与系统设计，网络优化，网络编码，云计算与移动计算
屠可伟,助理教授、研究员,自然语言处理\机器学习\知识表示\计算机视觉\人工智能
汤心溢,特聘教授,红外成像探测、实时信号处理（中科院上海技术物理研究所研究员）
田彤,特聘教授,射频、毫米波集成电路及系统设计（中科院上海微系统与信息技术研究所研究员）
吴亦农,特聘教授,微型低温制冷技术（中科院上海技术物理研究所研究员）
吴幼龙,助理教授、研究员,1. 网络信息论 2. 无线通信
